doc_idx,filename,city,county,year,rule_label,llm_majority_label,llm_consistency,llm_reason,text_first_500,human_label,human_notes
51,2014-宁波市鄞州区人民政府办公室关于印发鄞州区农村防洪排涝、农村河道疏浚及小型水库山塘整治三年行动计划.docx,宁波市,鄞州区,2014.0,incentive,regulatory,1.0,(keyword fallback),宁波市鄞州区人民政府办公室关于印发鄞州区农村防洪排涝农村河道疏浚及小型水库山塘整治三年行动计划各镇乡政府街道办事处区政府各部门直属单位鄞州区农村防洪排涝农村河道疏浚及小型水库山塘整治三年行动计划年已经区政府常务会议审议通过现予以印发请认真贯彻执行宁波市鄞州区人民政府办公室年月日鄞州区农村防洪排涝农村河道疏浚及小型水库山塘整治三年行动计划年为全面贯彻省市五水共治重要决策部署认真落实鄞州区五水共治三年行动计划依托现代水利百亿工程建设平台围绕防洪水排涝水治污水保供水的总体目标要求结合鄞州治水实际特制订鄞州区农村防洪排涝农村河道疏浚及小型水库山塘整治三年行动计划年一总体要求按照鄞州区五水共治三年行动计划提出的治水目标和工作要求大力实施防洪水排涝水治污水保供水等行动进一步构建外挡中疏下排三位一体的区域防洪减灾体系区域水环境提升体系和水资源保障体系至年力争实现奉化江姚江东江剡江全线封闭大嵩江重要堤段防洪标准提高到年一遇鄞东南沿山干河九曲河新城区段排涝能力提高到年一遇完成新一轮全区农村河道清淤疏浚工作消除全区小型水库和屋顶山塘安全隐患二目标任务一大力实施重要堤防工程建设加快奉化江姚江以及大嵩江等三大,regulatory,
53,2014-宁波市鄞州区人民政府办公室关于印发《鄞州区“五水共治”募捐资金使用管理办法》的通知.docx,宁波市,鄞州区,2014.0,regulatory,incentive,0.5,(keyword fallback),宁波市鄞州区人民政府办公室关于印发鄞州区五水共治募捐资金使用管理办法的通知各镇乡政府街道办事处区政府各部门直属单位鄞州区五水共治募捐资金使用管理办法已经区政府第次常务会议讨论通过现印发给你们请遵照执行宁波市鄞州区人民政府办公室年月日鄞州区五水共治募捐资金使用管理办法第一章总则第一条为进一步加强和规范五水共治募捐资金的使用和管理充分发挥资金的引导作用和使用绩效特制订本办法第二条资金来源与用途资金由鄞州区广大企业个人自愿捐赠在区光彩事业专用资金账户内设立相对独立专户主要用于属地镇乡街道五水共治项目建设第三条资金使用原则资金使用遵循公开透明专款专用规范管理严格监督的原则第二章资金使用范围和标准第四条资金使用范围按照全区五水共治的整体部署和工作要求募捐资金用于各镇乡街道治污水防洪水排涝水保供水抓节水的五水共治实体项目主要包括污水管网建设农村生活污水治理黑臭河整治生态河道建设沿河沿岸整治等方面实体项目必须按照相关规定进行工程招投标项目可查看可监督见实效第五条资金使用标准各镇乡街道需要使用募捐资金的五水共治项目镇乡街道需有自有资金配套募捐资金申请额度一般不高于项目建设镇乡街道应承担额的第三章资金申,regulatory,
67,2008-关于印发鄞州区农村生活污水分散式生态处理工作实施意见的通知.docx,宁波市,鄞州区,2008.0,regulatory,incentive,1.0,(keyword fallback),关于印发鄞州区农村生活污水分散式生态处理工作实施意见的通知各镇乡政府街道办事处区政府各部门直属单位鄞州区农村生活污水分散式生态处理工作实施意见已经区政府第次常务会议讨论通过现印发给你们请认真贯彻执行二八年四月十六日鄞州区农村生活污水分散式生态处理工作实施意见根据鄞州区排污专项规划修编确定的目标我区在建设城镇集中式生活污水处理设施的同时对难以纳入城镇污水厂进行集中处理的偏远农村生活污水将实施分散式生态处理为加快农村污水分散式生态处理设施建设保障全区农村生活污水处理工作顺利实施现结合我区实际制定如下实施意见一指导思想和总体目标以党的十七大提出的生态文明建设目标为指导贯彻落实科学发展观按照三大行动纲领要求通过年有计划有步骤的建设使全区有个左右的行政村完成此项工作提高偏远农村生活污水处理水平强化饮用水源保护改善群众生产生活环境切实为民办实事办好事为生态区建设奠定坚实基础二实施范围全区范围内生活污水不能纳入城镇集中式污水处理厂处理需要实施分散式生态处理的偏远行政村自然村主要是山区半山区村和水库上游村但列入拆迁搬迁规划范围以及村民实际居住户数小于户或实际居住人口小于人的行政村或自然村暂不列入本次实,regulatory,
69,2014-宁波市鄞州区人民政府关于印发鄞州区农村污水治理资金补助办法的通知.docx,宁波市,鄞州区,2014.0,regulatory,incentive,1.0,(keyword fallback),宁波市鄞州区人民政府关于印发鄞州区农村污水治理资金补助办法的通知各镇乡政府街道办事处区政府各部门直属单位鄞州区农村污水治理资金补助办法已经区政府第次常务会议审议通过现印发给你们请各有关单位予以认真贯彻落实宁波市鄞州区人民政府年月日鄞州区农村污水治理资金补助办法按照鄞州区五水共治三年行动计划甬鄞党发号和关于实施农村生活污水治理三年行动计划的通知鄞党办号文件要求为加快农村污水治理和质量提升加大项目补助力度规范财政资金使用特制定本办法一基本要求坚持整体推进把农村污水治理与新农村建设农村环境综合整治三改一拆文明创建等工作有机结合起来形成加快农村污水治理的整体合力坚持有序推进系统制定农村污水治理规划按照城镇建成区优先镇乡工业区块优先旧村改造新村建设优先原则合理安排农村污水治理项目坚持科学推进因地制宜开展农村污水治理按照建一个成一个要求进一步加大力度突出重点注重实效落到实处切实发挥农村污水治理的实际成效二实施主体各镇乡和石碶街道作为农村污水治理的实施主体负责辖区内农村污水治理主要包括镇乡污水收集管网建设村级污水治理户外工程和村级污水治理接户工程三补助项目一镇乡污水收集管网建设列入鄞州区排污专项规划,incentive,
72,2020-关于印发《北仑区岩河流域上下游横向生态补偿实施方案（试行）》的通知.docx,宁波市,北仑区,2020.0,regulatory,incentive,1.0,(keyword fallback),关于印发北仑区岩河流域上下游横向生态补偿实施方案试行的通知县水利局你局关于要求下达海盐县查找补齐清三河短板清淤河道计划的请示盐水号文件收悉为进一步巩固深化清三河工作成果防止三河反弹现象发生全力创建省级清三河达标县经县五水共治办研究确定查找补齐清三河短板清淤河道计划现批复计划如下全县计划投资万元对武原街道元通街道百步镇澉浦镇通元镇等个镇街道计划清淤河道条池塘处打捞沉船艘修筑护岸米清淤长度公里清淤土方量万立方米具体明细见附件请据此抓紧组织实施严格执行工程招投标相关规定项目实施中涉及的其它事项请按规定与相关部门联系办理海盐县发展和改革局年月日,incentive,
75,2020-关于下达北仑区2020年度工业园区（集聚区）“污水零直排区”建设提升项目的通知.docx,宁波市,北仑区,2020.0,regulatory,incentive,0.5,(keyword fallback),关于下达北仑区年度工业园区集聚区污水零直排区建设提升项目的通知县水利局你局关于要求下达海盐县查找补齐清三河短板清淤河道计划的请示盐水号文件收悉为进一步巩固深化清三河工作成果防止三河反弹现象发生全力创建省级清三河达标县经县五水共治办研究确定查找补齐清三河短板清淤河道计划现批复计划如下全县计划投资万元对武原街道元通街道百步镇澉浦镇通元镇等个镇街道计划清淤河道条池塘处打捞沉船艘修筑护岸米清淤长度公里清淤土方量万立方米具体明细见附件请据此抓紧组织实施严格执行工程招投标相关规定项目实施中涉及的其它事项请按规定与相关部门联系办理海盐县发展和改革局年月日,regulatory,
77,2020-关于印发宁波市北仑区“五水共治”污水（河道）治理专项资金使用管理办法的通知.docx,宁波市,北仑区,2020.0,regulatory,incentive,1.0,(keyword fallback),关于印发宁波市北仑区五水共治污水河道治理专项资金使用管理办法的通知各街道办事处相关部门区五水办为加快推进我区五水共治污水河道治理工作实现全区河道水质整体提标的工作目标进一步加强和规范五水共治污水河道专项资金管理提高资金使用效益宁波市生态环境局北仑分局北仑区财政局决定对宁波市北仑区五水共治污水河道治理专项资金使用管理办法仑环号进行修订现将修订后的办法予以印发请遵照执行附件宁波市北仑区五水共治污水河道治理专项资金使用管理办法宁波市北仑区五水共治污水河道治理专项资金申报指南宁波市北仑区环境保护河道专项资金项目申报表宁波市生态环境局北仑分局宁波市北仑区财政局年月日附件宁波市北仑区五水共治污水河道治理专项资金使用管理办法第一条为加快推进我区五水共治污水河道治理工作实现全区河道水质整体提标的工作目标进一步加强和规范五水共治污水河道专项资金管理提高资金使用效益根据宁波市五水共治污水河道治理专项资金使用管理办法甬环发号精神结合我区实际制定本办法第二条资金来源区五水共治污水河道治理专项资金以下简称污水河道治理专项资金来源于上级部门补助下达的五水共治污水河道治理专项资金第三条补助对象污水河道治理专项资金定,regulatory,
78,2020-关于印发宁波市北仑区国控（省控）考核断面水质治理专项资金使用管理实施细则的通知.docx,宁波市,北仑区,2020.0,regulatory,incentive,1.0,(keyword fallback),关于印发宁波市北仑区国控省控考核断面水质治理专项资金使用管理实施细则的通知各街道办事处相关部门为规范国控省控考核断面水质治理专项资金管理提高资金使用效益根据关于印发宁波市国控省控考核断面水质治理专项资金使用管理办法的通知甬环发号有关规定结合我区实际制定本细则现印发给你们请遵照执行附件宁波市北仑区国控省控考核断面水质治理专项资金使用管理实施细则宁波市北仑区国控省控考核断面水质治理专项资金申报指南宁波市北仑区国控省控考核断面水质治理专项资金项目申报表宁波市生态环境局北仑分局宁波市北仑区财政局年月日附件宁波市北仑区国控省控考核断面水质治理专项资金使用管理实施细则第一条为加强我区国控省控考核断面水质治理工作提升国控省控考核断面水环境质量进一步规范国控省控考核断面水质治理专项资金管理提高资金使用效益根据关于印发宁波市国控省控考核断面水质治理专项资金使用管理办法的通知甬环发号精神结合我区实际制定本细则第二条资金来源区国控省控考核断面水质治理专项资金以下简称断面治理专项资金来源于上级部门补助下达的国控省控考核断面水质治理环保专项资金第三条补助对象一宁波市列入国务院水污染防治行动计划国发号和浙江省水污,regulatory,
81,2019-关于印发北仑区生态环境质量公众满意度提升工作方案的通知.docx,宁波市,北仑区,2019.0,regulatory,informational,1.0,(keyword fallback),关于印发北仑区生态环境质量公众满意度提升工作方案的通知各街道办事处各有关单位现将北仑区生态环境质量公众满意度提升工作方案印发给你们请认真贯彻落实北仑区生态文明建设指导委员会办公室年月日北仑区生态环境质量公众满意度提升工作方案生态环境质量公众满意度已纳入省委省政府对各地党政领导班子实绩考核评价和美丽宁波美丽北仑建设考核也是我区创建国家生态文明建设示范区的必备条件为扎实推进我区生态环境质量公众满意度提升工作结合我区实际特制定本方案一工作目标年度北仑区生态环境质量公众满意度调查在省市排名有明显提升确保在宁波市内排名提升名以上二工作内容北仑区全面实施双城战略两整两提专项攻坚行动加快推进美丽北仑建设大力开展垃圾分类清洁家园五水共治大棚房整治蓝天保卫战打击非法加油等环境整治行动全区生态环境质量显著改善在做好生态环境整治的同时结合北仑区绿满港城生态提升工程实施方案重点开展满意度宣传六进活动和策划实施各类宣传活动不断提升三个率公众对环境整治工作的知晓率参与率和对生态环境质量的满意率一策划实施各类宣传活动常规新闻报道围绕美丽北仑建设两整两提和争先创优立功竞赛等全区中心工作针对污染防治攻坚战开展情况及成效,regulatory,
95,2018-关于印发《宁波杭州湾新区第二次全国污染源普查实施方案》的通知.docx,宁波市,宁波前湾新区,2018.0,regulatory,informational,0.75,(keyword fallback),关于印发宁波杭州湾新区第二次全国污染源普查实施方案的通知各局办委庵东镇人民政府各有关单位经管委会研究同意现将宁波杭州湾新区第二次全国污染源普查实施方案予以印发请遵照执行宁波杭州湾新区开发建设管理委员会办公室年月日宁波杭州湾新区第二次全国污染源普查实施方案根据国务院关于开展第二次全国污染源普查的通知国发号国务院办公厅关于印发第二次全国污染源普查方案的通知国办发号浙江省关于开展第二次污染源普查的通知浙政发号浙江省人民政府办公厅关于印发浙江省第二次全国污染源普查方案的通知浙政办发号宁波市人民政府关于开展第二次全市污染源普查的通知甬政发号以及宁波杭州湾新区开发建设管理委员会关于开展第二次污染源普查的通知甬新管发号等文件部署要求制订本实施方案一普查工作目标摸清全区各类污染源基本信息数量结构和分布状况掌握区域流域行业污染物产生排放和处理情况建立健全各类污染源档案污染源信息数据库和环境统计平台为加强污染源监管防控环境风险服务环境与发展综合决策提供依据二普查时点对象范围和内容一普查时点普查标准时点为年月日时期资料为年度资料二普查对象范围与内容普查对象为杭州湾新区管理范围内有污染源的单位和个体经营户范围,regulatory,
105,2021-宁波市奉化区人民政府关于给予全区“五水共治”工作突出贡献集体和个人行政奖励的决定.docx,宁波市,奉化区,2021.0,regulatory,incentive,1.0,该政策文本的核心是给予在水污染治理工作中做出突出贡献的集体和个人行政奖励，属于通过奖励机制引导和激励行为的手段。,宁波市奉化区人民政府关于给予全区五水共治工作突出贡献集体和个人行政奖励的决定各镇人民政府街道办事处区政府各部门各直属单位年全区各地各部门紧紧围绕省市和区委部署要求全力推进五水共治污水零直排治水治污攻坚战取得了显著成效根据浙江省人民政府关于印发浙江省行政奖励暂行办法的通知浙政发号决定给予五水共治工作有突出贡献的区水利局等家单位和朱家栋等名个人行政奖励具体名单如下一集体名单共个区水利局区综合执法局区五水共治办区农商集团区生态环境分局莼湖街道办事处方桥街道办事处溪口镇政府大堰镇政府亭下水库管理站二个人名单共人田武林区委办朱家栋区委组织部董能国区住建局姚鹏东区水利局陈彩虹区农业农村局蔡平辉区综合执法局徐劲波区五水共治办李永波区五水共治办戴敏敏区五水共治办胡晓晖区五水共治办罗亚男区五水共治办方辉开发区管委会周浩区融媒体中心董志霞区农商集团王璐飚区生态环境分局毛波涛锦屏街道办事处胡孟军岳林街道办事处王旭浩莼湖街道办事处王旭之西坞街道办事处印彭耀尚田街道印家坑村汪雷波萧王庙街道办事处汪潮辉江口街道办事处孙翔方桥街道办事处毛立安溪口镇政府谢骅大堰镇政府孙钰洁裘村镇政府林盛吉松岙镇政府宁波市奉化区人民政,incentive,
106,2016-关于印发《奉化市“五水共治”污水（河道）治理及国（省）控断面水质提升水污染防治项目专项资金使用管理办法》的通知.docx,宁波市,奉化区,2016.0,regulatory,incentive,1.0,(keyword fallback),关于印发奉化市五水共治污水河道治理及国省控断面水质提升水污染防治项目专项资金使用管理办法的通知各镇人民政府街道办事处市经济开发区为促进我市五水共治工作扎实推进污水河道治理工程开展和促进国省控断面水质提升根据宁波市财政局宁波市环保局关于印发宁波市五水共治污水河道治理专项资金使用管理办法的通知甬环发号宁波市环境保护专项资金使用管理办法甬环发号等文件精神结合我市实际特制定了奉化市五水共治污水河道治理及国省控断面水质提升水污染防治项目专项资金使用管理办法现印发给你们请遵照执行奉化市环境保护局奉化市财政局年月日奉化市五水共治污水河道治理及国省控断面水质提升水污染防治项目专项资金使用管理办法第一条为贯彻落实奉化市五水共治三年行动计划实施方案市委号奉化市河长制实施方案市委办号等文件要求扎实推进我市污水河道治理工程开展提升辖区水环境质量和国省控断面水质加快生态文明建设根据宁波市环境保护专项资金使用管理办法甬环发号和宁波市五水共治污水河道治理专项资金使用管理办法甬环发号的规定结合我市实际特制定本办法第二条资金来源我市五水共治污水河道治理专项资金国省控断面水质提升水污染治理专项资金来源于宁波市级五水共治污,regulatory,
125,2022-关于下达太湖河、杨府庙河塌方段修复及石洪池整治建设计划的通知.docx,台州市,温岭市,2022.0,regulatory,incentive,1.0,(keyword fallback),关于下达太湖河杨府庙河塌方段修复及石洪池整治建设计划的通知大溪镇箬横镇城南镇人民政府应你镇请示结合现场走访评估现将相关工程计划下达如下太湖河是太湖水库泄洪的唯一河道太湖河上游段河岸砌石建于年代现太湖河上游段照洋村处米发生塌方其中约米已滑坡至河道中间严重影响河道行洪经研究对太湖河塌方段实施河岸修复工程工程总投资约万元验收合格后予以项目补助经费万元杨府庙河为箬横镇骨干河道连接市级运粮河及车路横河担负着该镇南片水系互通及行洪安全的重要功能因受年号台风烟花影响导致兴盛段河岸约米塌方绿道约米受损严重影响河道行洪经研究对杨府庙河塌方段实施河岸修复工程工程总投资约万元验收合格后予以项目补助经费万元湖漫水库二级保护区内的坑洋村石洪池在上级五水共治检查中发现水质不达标为不影响水源地整体水质经研究应加快实施小微水体水质提升整治工程验收合格后予以项目补助经费万元上限万以实际结算为准上述经费在河湖库塘建设与管理中列支请你们切实加强组织领导建立项目推进工作机制坚持问题导向目标导向结合本地实际做好河岸修复小微水体水质提升整治项目管理温岭市农业农村和水利局温岭市财政局年月日,regulatory,
